label_region,"",slug_region,label,indicador,count
Tipacoque,109,tipacoque,Tipacoque,registros_region_total,4584
Toca,110,toca,Toca,registros_region_total,5071
Togüí,111,togui,Togüí,registros_region_total,3442
Tópaga,112,topaga,Tópaga,registros_region_total,218
Tota,113,tota,Tota,registros_region_total,4531
Tunja,114,tunja,Tunja,registros_region_total,11577
Tununguá,115,tunungua,Tununguá,registros_region_total,37
Turmequé,116,turmeque,Turmequé,registros_region_total,547
Tuta,117,tuta,Tuta,registros_region_total,1248
Tutazá,118,tutaza,Tutazá,registros_region_total,1426
Úmbita,119,umbita,Úmbita,registros_region_total,582
Ventaquemada,120,ventaquemada,Ventaquemada,registros_region_total,8858
Villa de Leyva,121,villa-de-leyva,Villa de Leyva,registros_region_total,35089
Viracachá,122,viracacha,Viracachá,registros_region_total,2115
Zetaquira,123,zetaquira,Zetaquira,registros_region_total,2209
